DesignRole;LOC;CC;Efferent;NOP;
BACKGROUNDPROCESS;514;83;33;4;
ENTITY;11;1;4;6;
PERSISTENCE;45;7;11;4;
EXCEPTION;6;1;1;1;
TRANSACAORELATORIO;443;63;56;4;
TRANSACAOMANTAB;4;1;0;0;
TRANSACAO;139;28;28;4;
ABAS;25;4;2;3;
UNDEFINED;103;17;23;4;
